name,category,image,price,description,unlockType,downloadable
Trạng Tí,character,🧒,20,Nhân vật Trạng Tí thông minh,coins,false
Thằng Bờm,character,👦,20,Nhân vật Thằng Bờm vui vẻ,coins,false
Chị Hằng,character,👧,25,Nhân vật Chị Hằng xinh đẹp,coins,false
Anh Cuội,character,👨,25,Nhân vật Anh Cuội trên cung trăng,coins,false
Bà Ngoại,character,👵,30,Bà Ngoại hiền từ,coins,false
Ông Ngoại,character,👴,30,Ông Ngoại thông thái,coins,false
Cô Giáo,character,👩‍🏫,25,Cô giáo dạy học,coins,false
Bác Sĩ,character,👨‍⚕️,25,Bác sĩ chữa bệnh,coins,false
Bạn Thân,character,👫,22,Đôi bạn thân,coins,false
Anh Trai,character,👨‍🦱,23,Anh trai lớn,coins,false
Chị Gái,character,👩,23,Chị gái xinh,coins,false
Em Bé,character,👶,20,Em bé dễ thương,coins,false
Bạn Học,character,🧑‍🎓,22,Bạn học cùng lớp,coins,false
Cô Bán Hàng,character,👩‍💼,24,Cô bán hàng rong,coins,false
Chú Công Nhân,character,👷,24,Chú công nhân chăm chỉ,coins,false
Bác Nông Dân,character,🧑‍🌾,26,Bác nông dân trồng lúa,coins,false
Cô Y Tá,character,👩‍⚕️,25,Cô y tá chăm sóc,coins,false
Chú Cảnh Sát,character,👮,27,Chú cảnh sát bảo vệ,coins,false
Bạn Nhỏ,character,🧒,21,Bạn nhỏ vui vẻ,coins,false
Thầy Giáo,character,👨‍🏫,28,Thầy giáo dạy học,coins,false
Nón Lá,accessory,👒,15,Nón lá Việt Nam,coins,true
Quạt Mo,accessory,🍃,15,Quạt mo cọ,coins,true
Khăn Rằn,accessory,🧣,20,Khăn rằn Nam Bộ,coins,true
Áo Dài,accessory,👗,25,Áo dài truyền thống,coins,true
Nón Cối,accessory,🪖,18,Nón cối bảo vệ,coins,true
Kính Mát,accessory,🕶️,16,Kính mát thời trang,coins,true
Túi Xách,accessory,👜,20,Túi xách đẹp,coins,true
Vòng Cổ,accessory,📿,17,Vòng cổ trang sức,coins,true
Vòng Tay,accessory,📿,16,Vòng tay đẹp,coins,true
Cặp Sách,accessory,🎒,22,Cặp sách học sinh,coins,true
Mũ Lưỡi Trai,accessory,🧢,15,Mũ lưỡi trai,coins,true
Khăn Quàng,accessory,🧣,18,Khăn quàng đỏ,coins,true
Giày Dép,accessory,👟,19,Giày dép đi học,coins,true
Ô Dù,accessory,☂️,17,Ô dù che mưa,coins,true
Balo,accessory,🎒,21,Balo đi học,coins,true
